 year | month | hires 
------+-------+-------
 2022 |     1 |     4
 2022 |     2 |     2
 2022 |     3 |     2
 2022 |     4 |     2
 2022 |     5 |     2
 2022 |     6 |     2
 2022 |     7 |     1
 2022 |     8 |     1
 2022 |     9 |     2
 2022 |    10 |     1
 2022 |    11 |     1
 2022 |    12 |     1
 2023 |     1 |     2
 2023 |     2 |     2
 2023 |     3 |     2
 2023 |     4 |     2
 2023 |     5 |     1
 2023 |     6 |     2
 2023 |     7 |     2
 2023 |     8 |     2
 2023 |     9 |     1
 2023 |    10 |     1
 2023 |    11 |     1
 2023 |    12 |     1
 2024 |     1 |     3
 2024 |     2 |     2
 2024 |     3 |     2
 2024 |     4 |     1
 2024 |     5 |     1
 2024 |     6 |     2
 2024 |     7 |     2
 2024 |     8 |     1
 2024 |     9 |     1
 2024 |    10 |     1
 2025 |     1 |     2
 2025 |     2 |     2
(36 rows)

CREATE TABLE
INSERT 0 3
